dest_id,address,geoRef.lat,geoRef.lng
86,"avenida Estrellas  114, Contry, Av. Estrellas, Jardines del Contry, 64860 Monterrey, N.L., México",25.4705569,-100.1930048
87,"avenida estrellas 246,Contry,Monterrey,Nuevo León,México",25.47107623,-100.1966025
88,"avenida estrellas 246,Contry,Monterrey,Nuevo León,México",25.4710764,-100.1966026
89,"Avenida Estrellas 405A, Contry, Monterrey, Nuevo León",25.472614,-100.16427
90,"Avenida Eucalipto 202, Sin Nombre de Colonia 54, Monterrey, Nuevo León",25.472616,-100.1691487
91,"Avenida Eugenio Garza Lagüera 114, Los Amates, San Pedro Garza García, N.L. Interior 116",25.47531319,-100.1778438
92,"Avenida Eugenio Garza Sada 3042, Alta Vista, Monterrey, Nuevo Leon",25.476777,-100.1763168
93,"Avenida Eugenio Garza Sada 3551 Plaza Contry, Local C-10 Galeria Mexico
 , 64860 Monterrey , Nuevo León, México",25.47714817,-100.1731269
94,"Avenida Eugenio Garza Sada 4444-306, Las Brisas, Monterrey, Nuevo León",25.4817799,-100.168141
95,"Avenida Eugenio Garza Sada 4444, Las Brisas, Monterrey, Nuevo Leon",25.4844847,-100.1814935
96,"Avenida Eugenio Garza Sada Sur 2145, Roma, Monterrey, Nuevo Leon",25.485887,-100.185187
97,"Avenida Eugenio Garza Sada Sur 2310, Roma, Monterrey, N.L.",25.48829584,-100.1848269
98,"Avenida Eugenio Garza Sada Sur 2410, Tecnológico, Monterrey, Nuevo Leon",25.48886693,-100.1960731
99,"Avenida Evolución 220, Tacubaya, Guadalupe, Nuevo Leon",25.5041123,-100.1944003
100,"Avenida Federico Gómez García 1602, Buenos Aires, 64800 Monterrey, N.L.",25.504627,-100.186125
101,"Avenida Federico Gómez García 2026, Buenos Aires, Monterrey, Nuevo Leon",25.5046377,-100.1921326
102,"Avenida Félix Galván 514, Fidel Velazquez INFONAVIT, San Nicolás de los Garza, Nuevo Leon",25.50559195,-100.1936447
103,"Avenida Félix U. Gómez 4100, Juana de Arco, 64510 Monterrey, N.L.",25.50559195,-100.1936447
104,"Avenida Félix U. Gómez 913, Centro, Monterrey, Nuevo León",25.50559195,-100.1936447
105,"avenida fidel velazquez 141, gloria mendiola, linares nl",25.50559225,-100.1936447
106,"Avenida Fidel Velázquez 1513, Central, Monterrey, N.L. Local 9C",25.50559225,-100.1936447
107,"Avenida Francisco I. Madero 1102, Centro, Monterrey, Nuevo Leon",25.50559225,-100.1936447
108,"Avenida Francisco I. Madero 2924, Centro, Monterrey, Nuevo León",25.5055925,-100.1936447
109,"Avenida Francisco I. Madero 2924, Mitras Sur, Monterrey, Nuevo Leon",25.5056967,-100.1978648
110,"Avenida Francisco I. Madero 3501, Mitras Centro, Monterrey, Nuevo Leon",25.5058687,-100.1865553
111,"Avenida Fuentes del Valle 111, Fuentes del Valle, San Pedro Garza García, N.L.",25.5064663,-100.1863732
112,"Avenida Fuentes del Valle 202, Fuentes del Valle, San Pedro Garza García, Nuevo Leon",25.5069322,-100.186289
113,"Avenida Fuentes Del Valle 204-2,Fuentes del valle,San Pedro",25.5071852,-100.1805373
114,"Avenida Fuentes del Valle 301, Fuentes del Valle, San Pedro Garza García, N.L.",25.5086659,-100.1797934
115,"Avenida Fuentes del Valle 570, Fuentes del Valle, Monterrey, N.L.",25.508743,-100.238366
116,"Avenida Fuentes del Valle 574, Fuentes del Valle, 66220 San Pedro Garza García, N.L.",25.5088815,-100.1867125
117,"Avenida Fuentes del Valle 574, Fuentes del Valle, San Pedro Garza García, N.L.",25.5091232,-100.1882158
